Prefix,HEX,DEC,Opcode,Param1,Param2,7,6,5,4,3,2,1,0,BIN,Immediate,Official,Memory,IX/IY,Assume A
,E7,231,RST,20H,,1,1,1,0,0,1,1,1,11100111,N,Y,N,N,N
,E8,232,RET,PE,,1,1,1,0,1,0,0,0,11101000,N,Y,N,N,N
,E9,233,JP,(HL),,1,1,1,0,1,0,0,1,11101001,N,Y,N,Y - No Displacment,N
,EA,234,JP,PE,nn,1,1,1,0,1,0,1,0,11101010,Y,Y,N,N,N
,EB,235,EX,DE,HL,1,1,1,0,1,0,1,1,11101011,N,Y,N,N,N
,EC,236,CALL,PE,nn,1,1,1,0,1,1,0,0,11101100,Y,Y,Y,N,N
,EE,238,XOR,A,n,1,1,1,0,1,1,1,0,11101110,N,Y,N,N,Y
,EF,239,RST,28H,,1,1,1,0,1,1,1,1,11101111,N,Y,N,N,N
,F0,240,RET,P,,1,1,1,1,0,0,0,0,11110000,N,Y,N,N,N
,F1,241,POP,AF,,1,1,1,1,0,0,0,1,11110001,N,Y,N,N,N
,F2,242,JP,P,nn,1,1,1,1,0,0,1,0,11110010,Y,Y,N,N,N
,F3,243,DI,,,1,1,1,1,0,0,1,1,11110011,N,Y,N,N,N
,F4,244,CALL,P,nn,1,1,1,1,0,1,0,0,11110100,Y,Y,Y,N,N
,F5,245,PUSH,AF,,1,1,1,1,0,1,0,1,11110101,N,Y,N,N,N
,F6,246,OR,A,n,1,1,1,1,0,1,1,0,11110110,N,Y,N,N,Y
,F7,247,RST,30H,,1,1,1,1,0,1,1,1,11110111,N,Y,N,N,N
,F8,248,RET,M,,1,1,1,1,1,0,0,0,11111000,N,Y,N,N,N
,F9,249,LD,SP,HL,1,1,1,1,1,0,0,1,11111001,N,Y,N,Y - No Displacment,N
,FA,250,JP,M,nn,1,1,1,1,1,0,1,0,11111010,Y,Y,N,N,N
,FB,251,EI,,,1,1,1,1,1,0,1,1,11111011,N,Y,N,N,N
,FC,252,CALL,M,nn,1,1,1,1,1,1,0,0,11111100,Y,Y,Y,N,N
,FE,254,CP,A,n,1,1,1,1,1,1,1,0,11111110,Y,Y,N,N,Y
,FF,255,RST,38H,,1,1,1,1,1,1,1,1,11111111,N,Y,N,N,N
CB,0,203000,RLC,B,,0,0,0,0,0,0,0,0,00000000,N,Y,N,N,N
CB,1,203001,RLC,C,,0,0,0,0,0,0,0,1,00000001,N,Y,N,N,N
CB,2,203002,RLC,D,,0,0,0,0,0,0,1,0,00000010,N,Y,N,N,N
CB,3,203003,RLC,E,,0,0,0,0,0,0,1,1,00000011,N,Y,N,N,N
CB,4,203004,RLC,H,,0,0,0,0,0,1,0,0,00000100,N,Y,N,N,N
CB,5,203005,RLC,L,,0,0,0,0,0,1,0,1,00000101,N,Y,N,N,N
CB,6,203006,RLC,(HL),,0,0,0,0,0,1,1,0,00000110,N,Y,Y,N,N
CB,7,203007,RLC,A,,0,0,0,0,0,1,1,1,00000111,N,Y,N,N,N
CB,8,203008,RRC,B,,0,0,0,0,1,0,0,0,00001000,N,Y,N,N,N
CB,9,203009,RRC,C,,0,0,0,0,1,0,0,1,00001001,N,Y,N,N,N
CB,0A,203010,RRC,D,,0,0,0,0,1,0,1,0,00001010,N,Y,N,N,N
CB,0B,203011,RRC,E,,0,0,0,0,1,0,1,1,00001011,N,Y,N,N,N
CB,0C,203012,RRC,H,,0,0,0,0,1,1,0,0,00001100,N,Y,N,N,N
CB,0D,203013,RRC,L,,0,0,0,0,1,1,0,1,00001101,N,Y,N,N,N
CB,0E,203014,RRC,(HL),,0,0,0,0,1,1,1,0,00001110,N,Y,Y,N,N
CB,0F,203015,RRC,A,,0,0,0,0,1,1,1,1,00001111,N,Y,N,N,N
CB,10,203016,RL,B,,0,0,0,1,0,0,0,0,00010000,N,Y,N,N,N
CB,11,203017,RL,C,,0,0,0,1,0,0,0,1,00010001,N,Y,N,N,N
CB,12,203018,RL,D,,0,0,0,1,0,0,1,0,00010010,N,Y,N,N,N
CB,13,203019,RL,E,,0,0,0,1,0,0,1,1,00010011,N,Y,N,N,N
CB,14,203020,RL,H,,0,0,0,1,0,1,0,0,00010100,N,Y,N,N,N
CB,15,203021,RL,L,,0,0,0,1,0,1,0,1,00010101,N,Y,N,N,N
CB,16,203022,RL,(HL),,0,0,0,1,0,1,1,0,00010110,N,Y,Y,N,N
CB,17,203023,RL,A,,0,0,0,1,0,1,1,1,00010111,N,Y,N,N,N
CB,18,203024,RR,B,,0,0,0,1,1,0,0,0,00011000,N,Y,N,N,N
CB,19,203025,RR,C,,0,0,0,1,1,0,0,1,00011001,N,Y,N,N,N
CB,1A,203026,RR,D,,0,0,0,1,1,0,1,0,00011010,N,Y,N,N,N
CB,1B,203027,RR,E,,0,0,0,1,1,0,1,1,00011011,N,Y,N,N,N
CB,1C,203028,RR,H,,0,0,0,1,1,1,0,0,00011100,N,Y,N,N,N
CB,1D,203029,RR,L,,0,0,0,1,1,1,0,1,00011101,N,Y,N,N,N
CB,1E,203030,RR,(HL),,0,0,0,1,1,1,1,0,00011110,N,Y,Y,N,N
CB,1F,203031,RR,A,,0,0,0,1,1,1,1,1,00011111,N,Y,N,N,N
CB,20,203032,SLA,B,,0,0,1,0,0,0,0,0,00100000,N,Y,N,N,N
CB,21,203033,SLA,C,,0,0,1,0,0,0,0,1,00100001,N,Y,N,N,N
CB,22,203034,SLA,D,,0,0,1,0,0,0,1,0,00100010,N,Y,N,N,N
CB,23,203035,SLA,E,,0,0,1,0,0,0,1,1,00100011,N,Y,N,N,N
CB,24,203036,SLA,H,,0,0,1,0,0,1,0,0,00100100,N,Y,N,N,N
CB,25,203037,SLA,L,,0,0,1,0,0,1,0,1,00100101,N,Y,N,N,N
CB,26,203038,SLA,(HL),,0,0,1,0,0,1,1,0,00100110,N,Y,Y,N,N
CB,27,203039,SLA,A,,0,0,1,0,0,1,1,1,00100111,N,Y,N,N,N
CB,28,203040,SRA,B,,0,0,1,0,1,0,0,0,00101000,N,Y,N,N,N
CB,29,203041,SRA,C,,0,0,1,0,1,0,0,1,00101001,N,Y,N,N,N
CB,2A,203042,SRA,D,,0,0,1,0,1,0,1,0,00101010,N,Y,N,N,N
CB,2B,203043,SRA,E,,0,0,1,0,1,0,1,1,00101011,N,Y,N,N,N
CB,2C,203044,SRA,H,,0,0,1,0,1,1,0,0,00101100,N,Y,N,N,N
CB,2D,203045,SRA,L,,0,0,1,0,1,1,0,1,00101101,N,Y,N,N,N
CB,2E,203046,SRA,(HL),,0,0,1,0,1,1,1,0,00101110,N,Y,Y,N,N
CB,2F,203047,SRA,A,,0,0,1,0,1,1,1,1,00101111,N,Y,N,N,N
CB,30,203048,SLL,B,,0,0,1,1,0,0,0,0,00110000,N,X,N,N,N
CB,31,203049,SLL,C,,0,0,1,1,0,0,0,1,00110001,N,X,N,N,N
